Country;Unit;Period;Value
France;PC;2019 Q2;0.896592946802164
France;PC;2019 Q3;0.503554502369649
France;PC;2019 Q4;0.47155909224876
France;PC;2020 Q1;-5.19213845702553
France;PC;2020 Q2;-6.34282178217821
France;PC;2020 Q3;15.7912124215395
Germany;PC;2019 Q2;0.0906070673512726
Germany;PC;2019 Q3;0.754375377187667
Germany;PC;2019 Q4;0.269541778975738
Germany;PC;2020 Q1;0.448028673835141
Germany;PC;2020 Q2;0.654177817424918
Germany;PC;2020 Q3;4.1063515509601
Japan;PC;2019 Q2;-0.00348635721661855
Japan;PC;2019 Q3;3.22529366372108
Japan;PC;2019 Q4;-6.89494377444589
Japan;PC;2020 Q1;1.80207960296069
Japan;PC;2020 Q2;-7.28551102623456
Japan;PC;2020 Q3;8.24794563419012
Great Britain;PC;2019 Q2;0.22712524334848
Great Britain;PC;2019 Q3;0.679831660731644
Great Britain;PC;2019 Q4;-1.18971061093246
Great Britain;PC;2020 Q1;-0.846078750406788
Great Britain;PC;2020 Q2;-7.48276993764357
Great Britain;PC;2020 Q3;15.3245831855268
Brazil;PC;2019 Q2;-0.105820105820109
Brazil;PC;2019 Q3;1.44774011299435
Brazil;PC;2019 Q4;1.32265924121129
Brazil;PC;2020 Q1;-1.95809000343526
Brazil;PC;2020 Q2;-8.61948142957254
Brazil;PC;2020 Q3;16.8711656441718
OECD;PC;2019 Q2;0.725684926981656
OECD;PC;2019 Q3;0.710691503158146
OECD;PC;2019 Q4;-0.518451012716831
OECD;PC;2020 Q1;-1.57706907857425
OECD;PC;2020 Q2;-5.390416351038
OECD;PC;2020 Q3;10.6038662538152